mes,variable,n_mes,psi,js,ks_stat,ks_pvalor,chi2_stat,chi2_pvalor,alerta
2025-11,tipo_credito,166,0.05108834989528272,0.07088519307890329,,,6.377044777686481,0.2712395893199799,estable
2025-11,capital_prestado,166,0.1432873019688347,0.1327058945789618,0.10510682715126413,0.05066367834654584,,,alerta
2025-11,plazo_meses,166,0.054813459449956047,0.08225915068153923,0.07793411822133656,0.2615656702614657,,,estable
2025-11,edad_cliente,166,0.1301531553195911,0.12662247312605399,0.13808576229410896,0.004011426075604563,,,alerta
2025-11,tipo_laboral,166,0.1385955555648782,0.13091789138962445,,,19.899950181331022,8.160245147461069e-06,alerta
2025-11,salario_cliente,166,0.15775135934417325,0.13797365808779305,0.1028545295351926,0.059141888280738186,,,alerta
2025-11,total_otros_prestamos,166,0.2908529734491317,0.18384258313029606,0.12823523418089705,0.008514824158803216,,,critico
2025-11,cuota_pactada,166,0.16489049969323227,0.141916725385386,0.09952465975614522,0.07388794605986138,,,alerta
2025-11,puntaje_datacredito,166,0.07492099378582122,0.09634148450457293,0.10316968315407798,0.06171347011210604,,,estable
2025-11,cant_creditosvigentes,166,0.052401359729236624,0.08069302624780085,0.06352521897996155,0.5060463415444671,,,estable
2025-11,huella_consulta,166,0.08323511452966667,0.10109543700618562,0.05871079953603381,0.6066802589480624,,,estable
2025-11,saldo_total,166,0.03136845027414777,0.06250376322740381,0.05574734774764406,0.681372907024968,,,estable
2025-11,saldo_principal,166,0.029176175254801862,0.060227166504461103,0.06642595169491966,0.4782891817825793,,,estable
2025-11,creditos_sectorFinanciero,166,0.03089195243384768,0.062027469286698105,0.07362145997699121,0.3240429718561376,,,estable
2025-11,creditos_sectorCooperativo,166,0.001176590344172367,0.01212626506677926,0.020883810588997798,0.9999989188842531,,,estable
2025-11,creditos_sectorReal,166,0.032380618318518094,0.06346905023633494,0.04526336242797924,0.8768795704894667,,,estable
2025-11,promedio_ingresos_datacredito,166,1.272632351881721,0.24565387450555837,0.2886516494074944,3.936098628429597e-10,,,critico
2025-11,tendencia_ingresos,166,0.007643880793391136,0.03089538128610042,,,1.0042615377159736,0.6052396589720379,estable
2025-11,carga_cuota,166,0.02925577152845093,0.06041490189574639,0.05341991341991348,0.7236822769955775,,,estable
2025-11,total_creditos_sectores,166,0.03163593042437464,0.06279558407328248,0.07960882767968325,0.239832450876715,,,estable
2025-12,tipo_credito,174,0.033464479967091953,0.05322173243651138,,,3.0381525492675263,0.694103699586919,estable
2025-12,capital_prestado,174,0.29690192523960485,0.19063089841462227,0.2380273379880028,5.221001130984893e-09,,,critico
2025-12,plazo_meses,174,0.09388725638831408,0.10804619158694585,0.26530428855785515,4.0958612705849915e-11,,,estable
2025-12,edad_cliente,174,0.09343808723031022,0.10759633628508287,0.10852310308986113,0.03537578812156994,,,estable
2025-12,tipo_laboral,174,0.11554043810164828,0.1196615516315385,,,17.687471073684936,2.6033570813195264e-05,alerta
2025-12,salario_cliente,174,0.1862043550999454,0.1499801514265803,0.17163726131820511,7.112578565445587e-05,,,alerta
2025-12,total_otros_prestamos,174,0.2779358580088837,0.18393326515585046,0.22077635093359016,8.4276100371646e-08,,,critico
2025-12,cuota_pactada,174,0.09186800923842324,0.10658993541654439,0.08846019511632719,0.12956262768488747,,,estable
2025-12,puntaje_datacredito,174,0.02817078174105292,0.05921532972216227,0.05476834230213934,0.6739085791760454,,,estable
2025-12,cant_creditosvigentes,174,0.048464451027847646,0.07732247604067385,0.049367414827348854,0.7798755403232418,,,estable
2025-12,huella_consulta,174,0.12155166376921192,0.12187918159894505,0.0962159052246912,0.07889246161026087,,,alerta
2025-12,saldo_total,174,0.03235732216280701,0.06343068305121403,0.07035517810259273,0.3597311214055179,,,estable
2025-12,saldo_principal,174,0.044112321671297285,0.07410629100638125,0.07482484084273344,0.30464332751451756,,,estable
2025-12,creditos_sectorFinanciero,174,0.026371628751844605,0.057367424971632074,0.07352523954366608,0.29883268544070796,,,estable
2025-12,creditos_sectorCooperativo,174,0.04315682054039648,0.07325400745275237,0.08505396726359016,0.1589792208988443,,,estable
2025-12,creditos_sectorReal,174,0.011033642050040798,0.03712357313563722,0.028380710814815857,0.9985514084486125,,,estable
2025-12,promedio_ingresos_datacredito,174,0.5848174975277699,0.25206268012817035,0.26382691007437453,3.2131200548305584e-09,,,critico
2025-12,tendencia_ingresos,174,0.01533800764998055,0.043762796287955916,,,2.320840793040344,0.3133544200808721,estable
2025-12,carga_cuota,174,0.030891336851901673,0.062060326162255215,0.049599931660924246,0.7780209970475535,,,estable
2025-12,total_creditos_sectores,174,0.023394747653617133,0.05384515383101857,0.04185020283643204,0.913129790130969,,,estable
2026-01,tipo_credito,127,0.023491625509179978,0.03985559088077817,,,1.05318831814385,0.9581627031975427,estable
2026-01,capital_prestado,127,0.3039453900499416,0.1904056701279694,0.21854594363137003,1.0095248207878281e-05,,,critico
2026-01,plazo_meses,127,0.22339041361562084,0.1623209542211679,0.2597085630792365,6.32133083716479e-08,,,alerta
